base_weight,adjusted_weight
1,1
1.06,1.14
1.12,1.27
1.18,1.41
1.24,1.55
1.29,1.69
1.35,1.82
1.41,1.96
1.47,2.10
1.53,2.24
1.59,2.37
1.65,2.51
1.71,2.65
1.76,2.78
1.82,2.92
1.88,3.06
1.94,3.20
2.00,3.33
2.06,3.47
2.12,3.61
2.18,3.75
2.24,3.88
2.29,4.02
2.35,4.16
2.41,4.29
2.47,4.43
2.53,4.57
2.59,4.71
2.65,4.84
2.71,4.98
2.76,5.12
2.82,5.25
2.88,5.39
2.94,5.53
3.00,5.67
3.06,5.80
3.12,5.94
3.18,6.08
3.24,6.22
3.29,6.35
3.35,6.49
3.41,6.63
3.47,6.76
3.53,6.90
3.59,7.04
3.65,7.18
3.71,7.31
3.76,7.45
3.82,7.59
3.88,7.73
3.94,7.86
4.00,8.00
